customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
27452529,192640089,,113115,Deli Official Store,1,,,2022-09-26 08:29:48+00:00,2022-10-01 10:21:35+00:00,18681981
5999706,192640089,,113115,Deli Official Store,2,,,2024-08-24 23:59:23+00:00,2024-08-28 10:28:01+00:00,19968637
28028320,192640089,,113115,Deli Official Store,4,,,2024-05-03 07:14:28+00:00,2024-05-05 09:20:22+00:00,19863081
13747895,192640089,,113115,Deli Official Store,1,,,2023-12-12 10:14:11+00:00,2023-12-15 10:46:33+00:00,19698672
20257204,192640089,,113115,Deli Official Store,1,,,2022-11-22 10:38:20+00:00,2022-11-25 18:27:29+00:00,18286235
9788040,192640089,,113115,Deli Official Store,1,,,2023-10-31 16:41:12+00:00,2023-11-03 13:46:41+00:00,19648776
22636262,192640089,,113115,Deli Official Store,2,,,2023-11-01 17:04:00+00:00,2023-11-03 09:35:26+00:00,19626457
6814515,192640089,,113115,Deli Official Store,3,,,2022-11-11 16:14:45+00:00,2022-11-16 09:57:20+00:00,18276025
5237117,192640089,,113115,Deli Official Store,3,,,2022-10-19 11:21:14+00:00,2022-10-23 12:26:42+00:00,18329801
1089603,192640089,,113115,Deli Official Store,2,,,2022-10-22 04:53:22+00:00,2022-10-29 10:19:41+00:00,18075988
12597034,192640089,,113115,Deli Official Store,2,,,2023-06-25 03:55:26+00:00,2023-06-28 14:05:41+00:00,19355430
22025908,192640089,,113115,Deli Official Store,3,,,2023-05-06 10:56:45+00:00,2023-05-10 14:59:07+00:00,19298037
20782223,192640089,,113115,Deli Official Store,3,,,2023-02-17 08:12:42+00:00,2023-02-20 13:08:26+00:00,18879798
23647620,192640089,,113115,Deli Official Store,2,,,2023-05-28 02:14:01+00:00,2023-05-31 14:35:01+00:00,19258157
779129,192640089,,113115,Deli Official Store,2,,,2023-05-13 03:37:37+00:00,2023-05-15 13:26:15+00:00,19256165
16642064,192640089,,113115,Deli Official Store,2,,,2023-04-11 06:01:50+00:00,2023-04-17 09:08:15+00:00,19106579
21672061,192640089,,113115,Deli Official Store,3,,,2023-05-03 10:22:34+00:00,2023-05-08 11:21:59+00:00,19199585
20782223,192640089,,113115,Deli Official Store,3,,,2023-02-12 05:27:38+00:00,2023-02-15 14:20:42+00:00,18821619
26893644,192640089,,113115,Deli Official Store,3,,,2022-10-08 14:44:33+00:00,2022-10-20 17:06:48+00:00,18716355
8502945,192640089,,113115,Deli Official Store,1,,,2023-03-03 15:28:10+00:00,2023-03-07 20:42:17+00:00,18923839
14193482,192640089,,113115,Deli Official Store,2,,,2022-08-11 15:13:16+00:00,2022-08-15 09:56:19+00:00,17634957
27277521,192640089,,113115,Deli Official Store,3,,,2023-02-21 16:28:14+00:00,2023-02-24 10:46:32+00:00,18913083
5397924,192640089,,113115,Deli Official Store,2,,,2023-02-25 00:06:28+00:00,2023-02-28 11:20:55+00:00,18905134
16409064,192640089,,113115,Deli Official Store,2,,,2022-10-11 04:55:01+00:00,2022-10-14 10:17:08+00:00,18621843
10478888,192640089,,113115,Deli Official Store,4,,,2022-11-23 06:35:20+00:00,2022-11-27 11:56:53+00:00,18394472
20247491,192640089,,113115,Deli Official Store,2,,,2022-10-19 16:30:02+00:00,2022-10-23 10:11:37+00:00,18176906
25882052,192640089,,113115,Deli Official Store,3,,,2022-11-17 06:58:27+00:00,2022-11-21 13:39:35+00:00,18258314
25945244,192640089,,113115,Deli Official Store,4,,,2022-10-23 16:14:44+00:00,2022-10-25 10:17:17+00:00,18081024
12120461,192640089,,113115,Deli Official Store,4,,,2022-10-09 00:40:41+00:00,2022-10-16 10:31:36+00:00,17987408
8037579,192640089,,113115,Deli Official Store,2,,,2022-09-22 10:52:25+00:00,2022-09-26 10:00:29+00:00,17804949
